label,youtube_id,time_start,time_end,split
assembling bicycle,-KonXAmHvC4,35,45,validate
climbing ladder,-Ksthv2x-YM,14,24,validate
unloading truck,-Kuuj4FsAMM,18,28,validate
windsurfing,-L-cr_aSSSE,2,12,validate
air drumming,-LVME0pkaW8,24,34,validate
pushing cart,-LsOrwYC32w,2,12,validate
building cabinet,-M1XPV3LQo8,479,489,validate
answering questions,-MKSKW9ej8w,41,51,validate
building lego,-MQXHHEJOmA,82,92,validate
peeling potatoes,-Mi6Lk-fSXg,28,38,validate
geocaching,-MjF5pbaHOE,7,17,validate
skateboarding,-MqXp8AGJw4,72,82,validate
smoking,-N4zRqR3Gqo,0,10,validate
home roasting coffee,-N6DX9AnrJc,33,43,validate
barbequing,-NKy_8ynrKs,82,92,validate
washing feet,-NXK2qW2Rkk,148,158,validate
making snowman,-NgXQZMUbfc,0,10,validate
changing oil,-Nj3XmZ7YBM,107,117,validate
putting in contact lenses,-Nl_gTB7eqY,58,68,validate
shaking hands,-NmoLSWXhzg,16,26,validate
golf putting,-O7FT-eIkA4,823,833,validate
photobombing,-OAVeTwOMSQ,0,10,validate
assembling bicycle,-OF5bfhu3ic,34,44,validate
sausage making,-OPEauETIXg,894,904,validate
changing oil,-OWXhsqHK1Q,241,251,validate
building cabinet,-OaRd2bCmLs,829,839,validate
shaving legs,-Ohb6ipHOys,1,11,validate
training dog,-Om3w3mak9o,91,101,validate
geocaching,-OnaoeDrh5M,32,42,validate
testifying,-Or90Pi3pkA,46,56,validate
shooting goal (soccer),-PE3-a9o57M,0,10,validate
skateboarding,-PXw4kNnjtI,1,11,validate
cutting watermelon,-PZVThuMgA4,0,10,validate
pushing cart,-P_CNMYOSFU,2,12,validate
cleaning pool,-QFXmitnBPA,53,63,validate
barbequing,-QJz_YH0TMA,335,345,validate
decorating the christmas tree,-Qr2DTCs-iE,130,140,validate
photobombing,-Qt5-0AhTCI,0,10,validate
changing oil,-QtCyuXwS-g,456,466,validate
skateboarding,-R4z88ZvLCA,64,74,validate
pumping fist,-RYRTMgVVsU,0,10,validate
brushing teeth,-RdGKu6-iFY,10,20,validate
riding elephant,-SeJQZQSt0M,37,47,validate
braiding hair,-T13gtGMCyA,21,31,validate
riding elephant,-TItfMkZpXo,4,14,validate
playing harp,-ThiuDnVGMU,4,14,validate
riding elephant,-Tr7AZF8aIY,24,34,validate
air drumming,-U2frOP59dc,16,26,validate
using a microscope,-U48N9TQaLg,65,75,validate
belly dancing,-UI8AJgs0nI,3,13,validate
smoking,-URHu4uVyL8,4,14,validate
playing guitar,-UWzJ4Cle94,8,18,validate
finger snapping,-UdK0if_jB4,0,10,validate
cleaning shoes,-V3YwlumSFY,92,102,validate
air drumming,-VICCY1B1K0,10,20,validate
air drumming,-VtLx-mcPds,12,22,validate
singing,-W0NQfZwNgE,139,149,validate
pumping fist,-W9vw2vxlMY,0,10,validate
playing bass guitar,-WX7H6iKnZ8,302,312,validate
changing oil,-YAm8PpN4Dg,0,10,validate
skateboarding,-Z22B2ldsz0,79,89,validate
yawning,-ZigTNAJGn4,0,10,validate
building cabinet,-ZttIy-2Wn4,574,584,validate
air drumming,-_boW-NO5pU,117,127,validate
riding elephant,-_sZfHi_G7c,52,62,validate
training dog,-af6Qis9byM,0,10,validate
scrapbooking,-alP4dxXEss,214,224,validate
checking tires,-b3p2tNmPBk,34,44,validate
barbequing,-b8syEYyYV0,75,85,validate
skateboarding,-bQfgNsszaQ,172,182,validate
assembling bicycle,-bT7ufSb6I8,154,164,validate
braiding hair,-be28IKDtoc,153,163,validate
smoking,-c76cWETzm0,99,109,validate
swimming backstroke,-cAfxH1WnPo,87,97,validate
scrapbooking,-cC2v6qaz5k,16,26,validate
assembling bicycle,-cFUmuwwwa4,37,47,validate
flying kite,-cMsP8DzCls,19,29,validate
photobombing,-cPH_lDj2u8,9,19,validate
assembling bicycle,-cXQ3ZCR41w,31,41,validate
building cabinet,-cdqRe5Um4w,411,421,validate
air drumming,-cfwqyJGnt0,2,12,validate
playing paintball,-cjfVN5zZ0M,82,92,validate
pumping fist,-coeq0syJYU,7,17,validate
smoking,-cui-aLqI3g,541,551,validate
building lego,-cwHfScDpbw,0,10,validate
building cabinet,-dFYUnSnKPs,150,160,validate
scrapbooking,-dHh1JyCVbY,5,15,validate
pumping fist,-dRVgGiwt8E,1,11,validate
pushing cart,-dSUldceBAA,31,41,validate
cleaning toilet,-deJQKexStU,142,152,validate
air drumming,-dglCzcubsw,246,256,validate
checking tires,-dhP2AH0eqI,141,151,validate
swimming backstroke,-e8Kjl_bKgg,76,86,validate
air drumming,-eGnPDG5Pxs,53,63,validate
training dog,-eXioEOiZW0,118,128,validate
answering questions,-ek3zFzo560,537,547,validate
windsurfing,-f-S0HuaLZQ,31,41,validate
playing tennis,-f4yZuT0b-8,67,77,validate
windsurfing,-f9NwpQDJQg,48,58,validate
shaking hands,-fPZbrsrSIA,20,30,validate
air drumming,-fTmHyOG-CY,0,10,validate
unloading truck,-gGGgY9NWiw,28,38,validate
playing paintball,-gGlM-B7Tkw,65,75,validate
answering questions,-gdnqSMN9Gg,619,629,validate
answering questions,-gs6AB6dM0g,1,11,validate
pushing cart,-gxmZpZzlQU,1,11,validate
windsurfing,-hJSyonK-Bg,24,34,validate
windsurfing,-hmpR3P-TMc,46,56,validate
blowing glass,-htW2doHVEE,128,138,validate
playing tennis,-iFYOSvF9DA,4,14,validate
cutting watermelon,-iX_6RINZOo,0,10,validate
pumping fist,-ii73EULi9g,73,83,validate
skateboarding,-j3ZyqgF0Us,23,33,validate
skateboarding,-jC8fWwWoo4,59,69,validate
photobombing,-jDtapmS3Yw,7,17,validate
playing basketball,-jKbRfWxLYU,26,36,validate
blowing glass,-jkWjEKwLRA,546,556,validate
building cabinet,-jo4dEIXIdE,310,320,validate
blowing glass,-jxEnECmUFY,45,55,validate
riding mule,-kGols4Pdps,0,10,validate
putting in contact lenses,-kH8-SiuBvo,21,31,validate
air drumming,-kL508ohBoo,1,11,validate
riding elephant,-ke3Rv7nUTI,10,20,validate
country line dancing,-kmP2XzLzxI,173,183,validate
windsurfing,-lPPpRFXn_0,46,56,validate
playing paintball,-lPaefDR9mw,10,20,validate
windsurfing,-lPch7MnHRc,6,16,validate
pumping gas,-lYaa3qsFpQ,0,10,validate
cooking on campfire,-lkTqxa9G9A,8,18,validate
barbequing,-lskrfFH45s,41,51,validate
blowing nose,-lyvC2QevFU,20,30,validate
riding elephant,-mQv93RpSpY,1,11,validate
skateboarding,-mW51TyFxlg,24,34,validate
assembling bicycle,-mXL4gCnxXg,9,19,validate
cracking neck,-mb7ldf5ULA,0,10,validate
skateboarding,-mkcnkZXybY,61,71,validate
cleaning shoes,-mlH-fXU_lQ,27,37,validate
riding elephant,-nAsMzrGKds,0,10,validate
assembling bicycle,-nM9MnmZw8o,29,39,validate
air drumming,-ni1UWaBmL0,56,66,validate
pushing cart,-nmm2KT7uNU,153,163,validate
cooking on campfire,-nvvndnOToQ,113,123,validate
yawning,-oUX_TK2d2Y,0,10,validate
sharpening pencil,-o_qCUkrvGI,8,18,validate
capsizing,-okSCRCmVeU,3,13,validate
golf putting,-ol5AnuSsM0,4,14,validate
cleaning toilet,-pBiJnwK2oc,50,60,validate
home roasting coffee,-pF73W3gbXo,873,883,validate
pushing cart,-pWAEIT0HRo,5,15,validate
delivering mail,-pk1lDVNpqA,0,10,validate
planting trees,-q0tbznmevU,25,35,validate
spinning poi,-qK-i0M1e1A,0,10,validate
waxing back,-qLN-PqoeBM,330,340,validate
blowing glass,-qilGDfOLbM,10,20,validate
eating doughnuts,-qu1P3Irys0,356,366,validate
country line dancing,-qvq4rwzhq8,166,176,validate
holding snake,-rFgI-VJ98A,9,19,validate
air drumming,-rI2ZqZ5vH0,7,17,validate
skateboarding,-rUgxmmZd0o,51,61,validate
catching fish,-rXV6plZSQw,21,31,validate
gospel singing in church,-rlmv5sOmhU,433,443,validate
testifying,-rsT9HSBkyI,0,10,validate
photobombing,-sOEbLIb0jw,0,10,validate
hockey stop,-sd3i6AkgtI,104,114,validate
air drumming,-t7I9PRPwQI,5,15,validate
pushing cart,-tXtmSjL_WI,0,10,validate
air drumming,-tXuFVHvRdQ,118,128,validate
air drumming,-tcD0doI-vo,1,11,validate
card stacking,-u7jDVOfvx8,2,12,validate
smoking,-uB3ZOHL0cA,146,156,validate
playing harp,-uBXbXixTXU,82,92,validate
skateboarding,-uWC6MYgYEc,2,12,validate
assembling bicycle,-uafTMDSPMM,374,384,validate
pumping fist,-ugRK5Xp-K4,11,21,validate
air drumming,-upUws2YqWk,7,17,validate
pumping fist,-v9MutR8bU4,0,10,validate
ski jumping,-vM5pKnVRUw,7,17,validate
braiding hair,-vO-iaTn4qY,232,242,validate
lifting hat,-vtSA28DDDs,0,10,validate
riding elephant,-w2cwjTx-ew,25,35,validate
blowing glass,-wsrVyB2zn4,328,338,validate
pushing cart,-x4Vr_gXCeE,2,12,validate
blowing glass,-xF8xqMGdWY,54,64,validate
cleaning shoes,-xIpo-MdYeU,39,49,validate
building cabinet,-xouHTgezWE,1,11,validate
pushing cart,-yBv6i44XAE,32,42,validate
skateboarding,-yPZe1_QOGY,24,34,validate
pumping fist,-yTWn1Q1nwQ,8,18,validate
playing netball,-z1c47-gUKA,0,10,validate
pushing cart,-z3v5enGvYQ,30,40,validate
barbequing,-zN1O9ZwjWg,453,463,validate
smoking,-zWxPWk-gH4,169,179,validate
riding elephant,-zoJdjD91Uk,12,22,validate
docking boat,-zqsfRUJn2I,18,28,validate
decorating the christmas tree,-zuaFzRzl7Y,147,157,validate
air drumming,0-DC05gGzaI,2,12,validate
building cabinet,0-_0sFVbno4,44,54,validate
assembling bicycle,0-an2aF1XGw,425,435,validate
hockey stop,0-mhj4EiSMY,24,34,validate
arranging flowers,00GyvomBAJc,6,16,validate
trimming trees,00_77WAvZ_o,11,21,validate
photobombing,00g-inkLork,2,12,validate
pushing cart,01-SGvF3zWg,27,37,validate
petting cat,014DE1F-UUk,19,29,validate
pushing cart,01WKY1mn5FI,0,10,validate
smoking,01pCJBEhn08,17,27,validate
assembling bicycle,02D2rqAUAPM,56,66,validate
building cabinet,02EEyBC8aac,267,277,validate
pushing cart,02JmUBj5xzs,12,22,validate
brushing teeth,02g7pYEXJm0,58,68,validate
blowing glass,02hWNmgR08A,52,62,validate
cleaning pool,02pQ-4vI7-I,224,234,validate
pumping fist,02rbpktoyRU,3,13,validate
holding snake,02seb8Q7Ug8,160,170,validate
hockey stop,03GKUtdmEiI,0,10,validate
home roasting coffee,03Q0tEZeVVU,7,17,validate
testifying,03WF4D2tlsU,52,62,validate
steer roping,03do4ZbZrkA,55,65,validate
building cabinet,04N_zoDW3sQ,783,793,validate
skateboarding,04PqkP6Vv3E,192,202,validate
blowing nose,04fLIUMTbco,6,16,validate
building lego,058LtpN3mrg,96,106,validate
photobombing,05LMTHWDJxE,124,134,validate
snowkiting,05Sy2LShZtM,51,61,validate
scrapbooking,05TAv29hBas,43,53,validate
scrapbooking,05YUr1PIi28,431,441,validate
riding elephant,05hKGU5928E,352,362,validate
photobombing,05kAn1okOlw,1,11,validate
blowing glass,05xwFfGELww,48,58,validate
riding elephant,06ON1-8oHTc,130,140,validate
trimming trees,06WLsNRwXxE,15,25,validate
ski jumping,06iERukTOa8,89,99,validate
skateboarding,06ofnvq2Hjs,65,75,validate
climbing ladder,06pQ17khyhQ,4,14,validate
golf putting,06rZT_6Rc5Q,19,29,validate
cleaning shoes,07HPWxFya8A,14,24,validate
riding mule,07_Vcxj3snQ,5,15,validate
cleaning toilet,07bOKZ56w2M,78,88,validate
home roasting coffee,07ga6m_Fw2Q,86,96,validate
golf chipping,07gno9_9qi4,33,43,validate
pull ups,07xyK3Efyps,339,349,validate
blowing glass,083H_yQsGHY,37,47,validate
pushing cart,08FkSEAtXwM,2,12,validate
baking cookies,08JqXh8jCgk,56,66,validate
skateboarding,08e6JOWAQms,168,178,validate
sausage making,09K9CFtILzQ,96,106,validate
biking through snow,09dQut5GJ68,49,59,validate
smoking,09nHCaJU-HU,0,10,validate
country line dancing,09yfRViqqeI,208,218,validate
riding elephant,0ACji4353Go,138,148,validate
assembling bicycle,0AL8gw741UA,10,20,validate
country line dancing,0AfgAUo6KQQ,56,66,validate
riding elephant,0BLyz0GTX8w,0,10,validate
ice skating,0BQGIPMzwFU,76,86,validate
pushing cart,0BaiAcK7iwo,29,39,validate
training dog,0BprhLMjzXA,62,72,validate
hockey stop,0CKiKkVa3kY,5,15,validate
building cabinet,0CpYz98aBjA,189,199,validate
waxing back,0D3a4TtiYDA,14,24,validate
photobombing,0DbOQonNqUs,47,57,validate
cleaning shoes,0Dor1xFBkEs,66,76,validate
pushing cart,0DpCJFCt71g,9,19,validate
pumping fist,0Dq88go-YRY,4,14,validate
playing guitar,0ELymxVtE0g,56,66,validate
blowing nose,0EU_4krCUgI,0,10,validate
testifying,0Es9zrEHL84,53,63,validate
cleaning shoes,0F9XXBqN4v4,296,306,validate
punching person (boxing),0Ffr8tk-hLo,1,11,validate
pumping fist,0FqR9VMpgbo,4,14,validate
building cabinet,0Fw4QLGGgvQ,187,197,validate
photobombing,0GErBhm38YQ,0,10,validate
cleaning shoes,0GJynewwYpI,251,261,validate
brushing teeth,0GLw64fSgys,90,100,validate
trimming trees,0GTjQ5ps8uk,4,14,validate
making tea,0GYzBxtZFeY,10,20,validate
scrapbooking,0GfursbqTdE,86,96,validate
passing American football (in game),0H77yH7IQGQ,2,12,validate
pushing cart,0HOGshUOGFE,1,11,validate
assembling bicycle,0I-ssvjV-i0,336,346,validate
photobombing,0I1hZiCx9u0,10,20,validate
bending back,0IG4JwUBRtc,1,11,validate
separating eggs,0IcH3hxAvXQ,13,23,validate
braiding hair,0IqVKesVrg8,223,233,validate
pumping fist,0J3fnoGcpd0,0,10,validate
skateboarding,0JZm3c-ZhKo,24,34,validate
ski jumping,0JdJdJ_EeP8,45,55,validate
pumping fist,0JgKKH6aE8c,1,11,validate
smoking,0KqeKi2CBqg,51,61,validate
assembling bicycle,0L6DEhsmsR4,17,27,validate
waxing legs,0LEToarXPss,97,107,validate
arranging flowers,0LLJy9aZkp4,8,18,validate
frying vegetables,0LPgqGnYx2A,349,359,validate
assembling bicycle,0LSVen2bIDA,426,436,validate
cleaning gutters,0M4mYqE-qX0,2,12,validate
ski jumping,0MA8CPbH-Ik,0,10,validate
applying cream,0MCDeDNMYCQ,33,43,validate
passing American football (in game),0MKvn7qJx5g,15,25,validate
riding mule,0MTOCCwKRM8,0,10,validate
texting,0MmWEVcAFuU,19,29,validate
training dog,0N8RoBWzxnk,16,26,validate
texting,0NB4gZoffNE,7,17,validate
smoking,0NDCuBAzIGg,2,12,validate
smoking,0NDEnFS6Uas,0,10,validate
climbing ladder,0Ni71yNnowc,41,51,validate
braiding hair,0NqpwltBHeA,69,79,validate
golf putting,0O3S2OqHDKE,25,35,validate
decorating the christmas tree,0OPFWBTOuBU,305,315,validate
riding elephant,0Pb4ghR0COE,42,52,validate
reading book,0Pg8JF2Jnno,124,134,validate
cutting nails,0Pv-wIva7EQ,5,15,validate
belly dancing,0QHFsMT93_k,178,188,validate
waxing legs,0QL6qz_2XwU,0,10,validate
sword swallowing,0Q_e6PMmK9o,9,19,validate
eating spaghetti,0QabMxwX_rI,15,25,validate
smoking,0RL1rDnfwZE,114,124,validate
golf putting,0Rhv50mhWhU,18,28,validate
blowing glass,0RpLAKOdZuA,221,231,validate
gospel singing in church,0STzBxE9vGE,53,63,validate
moving furniture,0SpS3AHof60,0,10,validate
country line dancing,0Stbj1momXk,77,87,validate
punching person (boxing),0TtUPcnpN2g,18,28,validate
golf putting,0V7R290yboI,2,12,validate
golf putting,0V8kH1EDmpU,188,198,validate
tying bow tie,0VTuvbwjNpM,0,10,validate
cooking on campfire,0Vj-uc5NHxI,52,62,validate
assembling bicycle,0WMReYXyDXs,49,59,validate
photobombing,0WsQu85kL-E,0,10,validate
cleaning shoes,0XJGpo8hSpI,340,350,validate
waxing back,0XY1VlqaCMg,3,13,validate
making snowman,0Xftz_vSdSE,13,23,validate
singing,0Xq4OFEk1oY,369,379,validate
riding elephant,0Ynrdz9TuHg,24,34,validate
pushing cart,0YpHgbmOnOc,13,23,validate
moving furniture,0ZADu9gkTOU,27,37,validate
yawning,0ZvqaBS7JM8,16,26,validate
sharpening pencil,0ZyPlJsG-h4,104,114,validate
blowing leaves,0_OKJvd1X_k,3,13,validate
yawning,0_SYtoeA1ZU,1,11,validate
pull ups,0_VBxJ4eNlg,2,12,validate
smoking,0_s9tqV9L5c,83,93,validate
zumba,0_tMEDs_rzM,116,126,validate
singing,0_tiV36Yris,186,196,validate
cleaning gutters,0aKXMr9x7Jc,38,48,validate
snowkiting,0aS6jMyjRAc,118,128,validate
waxing back,0bjjlsbiTeo,92,102,validate
building cabinet,0bpFq9B3QO4,404,414,validate
assembling bicycle,0bsBemoODlc,17,27,validate
pushing cart,0c7pxo2qSDw,1,11,validate
pushing cart,0cbaOR84CNk,45,55,validate
assembling bicycle,0cefmN9ejuc,20,30,validate
delivering mail,0dChgscG4o0,29,39,validate
golf putting,0djBLoTFYrA,6,16,validate
shooting goal (soccer),0dkKCQ6yqZo,379,389,validate
moving furniture,0dsqRQyq13A,220,230,validate
smoking,0e7L82fphoQ,12,22,validate
riding elephant,0eSFmX-NTIU,49,59,validate
riding elephant,0eVbNhwl8_8,35,45,validate
unboxing,0eXZWQvxAIk,36,46,validate
pull ups,0ep0izfSjIY,0,10,validate
building cabinet,0fUOz3KhtfY,39,49,validate
cooking on campfire,0fuNBQWssPk,88,98,validate
zumba,0g1Z0GlCayg,59,69,validate
punching person (boxing),0g813Qgrc-M,785,795,validate
unloading truck,0g8MUBwBM_4,2,12,validate
photobombing,0gTpSBT1rAA,17,27,validate
blowing glass,0gXm5BzysR4,111,121,validate
hockey stop,0gizk_jJcZ0,89,99,validate
photobombing,0gkltXnwuiE,3,13,validate
decorating the christmas tree,0gtSAyvqcI8,109,119,validate
assembling bicycle,0hbItqKWGig,158,168,validate
blowing glass,0he9uy2JoJc,47,57,validate
photobombing,0hg1HTVnNLg,4,14,validate
singing,0hh_oVoutFs,2,12,validate
testifying,0hrqR84Ii2I,29,39,validate
assembling bicycle,0huB6QQf7lM,218,228,validate
assembling bicycle,0i-GKbmb2Ck,47,57,validate
smoking,0iQiH6vBsXc,7,17,validate
cutting nails,0iRLt5ZFkb0,0,10,validate
pushing cart,0i_WTbnVXjk,5,15,validate
cutting nails,0iftqj09EuU,0,10,validate
photobombing,0j9dD6HAggY,0,10,validate
using a microscope,0jIKG5w2rv4,86,96,validate
skateboarding,0jOvya0RQ74,0,10,validate
gospel singing in church,0jydAP17ssI,0,10,validate
skateboarding,0k2xEVSD56Q,110,120,validate
photobombing,0kAw8RCodNw,2,12,validate
golf putting,0kRMZvqF1O0,19,29,validate
capsizing,0lUqDQzkCO0,5,15,validate
eating spaghetti,0ligcMU30Ow,25,35,validate
tying bow tie,0m0-Q0zz_-c,112,122,validate
eating spaghetti,0mLoZ1QRqzE,56,66,validate
riding elephant,0mffd8TMtHg,5,15,validate
playing tennis,0mxenNO4xIg,29,39,validate
playing guitar,0oI3Xm0zg-o,67,77,validate
shaking hands,0odgrEpClX4,8,18,validate
cleaning gutters,0olYoiyaE-s,88,98,validate
using bagging machine,0phP9tc8tLA,37,47,validate
riding elephant,0pi94mAZXAU,0,10,validate
blowing glass,0qC_hGpIcXs,663,673,validate
assembling bicycle,0qSg1iDprcA,473,483,validate
capsizing,0qcKkWH6iFY,5,15,validate
blowing glass,0qmlUG52KHU,9,19,validate
waxing back,0r4DbBOOa_4,298,308,validate
golf putting,0s2Jzk6yBVk,249,259,validate
riding elephant,0sC7Ovz0h20,21,31,validate
decorating the christmas tree,0sHBXTAkjc0,51,61,validate
using a microscope,0sYdmGzhBv8,251,261,validate
unboxing,0tQXyP4zoA4,35,45,validate
pushing cart,0uJyId7B6os,52,62,validate
pushing cart,0udk1e9n7y8,1,11,validate
arranging flowers,0uxZ39gVf5E,54,64,validate
washing feet,0uzCguewA1Q,140,150,validate
pull ups,0vMCq_b2nFo,19,29,validate
testifying,0vP__TXkFXc,186,196,validate
waxing back,0vW26efcjYI,31,41,validate
walking the dog,0vhwiO66Tig,17,27,validate
smoking,0x3uDfuc91Q,268,278,validate
golf putting,0xeW8zlJhxI,5,15,validate
smoking,0xeu3Zr0buQ,26,36,validate
playing netball,0xrSBQ2M96g,44,54,validate
attending conference,0xxG18xn1bA,72,82,validate
walking the dog,0y0TrAHeHNo,240,250,validate
climbing ladder,0y1xBOzCjAE,6,16,validate
photobombing,0yUz7DrLF_4,0,10,validate
smoking,0y_OCH1FnSU,0,10,validate
washing feet,0yiUTt2qyLU,7,17,validate
playing guitar,0ykJLOQmDnU,210,220,validate
applying cream,0ytvCKRAO74,44,54,validate
cutting nails,1-TE1k-bj9k,69,79,validate
passing American football (in game),1-YryqxsqAQ,18,28,validate
capsizing,117MH2CFc8o,62,72,validate
waxing back,11PnjQNkedg,125,135,validate
photobombing,11nghz-Xhmo,19,29,validate
snowkiting,11rLwk1LMP0,133,143,validate
punching person (boxing),11spaUUpuOM,285,295,validate
making a sandwich,11voECUIkww,0,10,validate
putting in contact lenses,12_SOSa7IPY,34,44,validate
photobombing,13PARcWvYPo,2,12,validate
sharpening pencil,13QnV9YMYf0,20,30,validate
pushing cart,13kHYC1oxo4,3,13,validate
attending conference,141xfzfdbfw,0,10,validate
country line dancing,142MeeyvcT8,17,27,validate
golf putting,15OA4S0Xi60,60,70,validate
separating eggs,15P9QDdPyx0,121,131,validate
smoking,15wFRRcVdUE,157,167,validate
pull ups,15ypy7AMAsc,11,21,validate
photobombing,16ZJldxHNh4,14,24,validate
changing oil,177vp6HWqg4,78,88,validate
shining flashlight,17Gjt3E3w80,89,99,validate
sausage making,187vUI4rnI8,48,58,validate
