label,youtube_id,time_start,time_end,split
high kick,-5klnjYyA6o,2,12,validate
shearing sheep,-5o48YgRlkQ,675,685,validate
flint knapping,-5pgQ0OJjJs,26,36,validate
making bubbles,-5wvw64KXqQ,0,10,validate
swimming butterfly stroke,-5yyKPocddE,4,14,validate
water sliding,-66lIjamXMA,34,44,validate
making tea,-6BGjxMc1BU,16,26,validate
cartwheeling,-6CM7VV8-_w,262,272,validate
doing laundry,-6I88CkC6iI,47,57,validate
parkour,-6KNHzXeYKo,173,183,validate
tasting food,-6KfcOhyCtI,42,52,validate
snatch weight lifting,-6WaGE52Odw,0,10,validate
folding paper,-6c-sV_gmq0,72,82,validate
snatch weight lifting,-6dvnbAds1Y,20,30,validate
headbanging,-6hrJT07lKk,64,74,validate
dancing macarena,-6hsbWBHZrE,13,23,validate
photobombing,-6s3LbylfYM,0,10,validate
bottling,-6tk1dzeCmA,144,154,validate
hand washing clothes,-6u4asYvAaU,12,22,validate
playing piano,-6wNVod8iag,377,387,validate
side kick,-6yaNVdS-2E,0,10,validate
parkour,-6ykAmBXIr0,13,23,validate
riding snow blower,-72xNEx6hZo,214,224,validate
trimming trees,-76ErhKu-n8,0,10,validate
eating chips,-7784_WqE1E,16,26,validate
smoking pipe,-7883F9N6rM,90,100,validate
tobogganing,-7Cd7uCCE3g,0,10,validate
dyeing hair,-7E9WiX7QfA,53,63,validate
yoga,-7M8Y3H6yoo,136,146,validate
breaking boards,-7Y7cfnr3O8,0,10,validate
playing squash or racquetball,-7arnYZJjKE,104,114,validate
swimming butterfly stroke,-7axUnKiycE,23,33,validate
hugging baby,-7im0nn3p5s,0,10,validate
waxing eyebrows,-7iqslDS5vo,163,173,validate
bungee jumping,-7oDolWb3FI,49,59,validate
belly dancing,-7tDxxH2g6I,16,26,validate
weaving basket,-85kDMryJ9M,577,587,validate
stretching leg,-87ioKS6ulY,4,14,validate
throwing ball (not baseball or American football),-89t2FKhgJk,3,13,validate
dumpster diving,-8BV5nVc6dU,57,67,validate
lock picking,-8DaseFlim0,227,237,validate
pumping fist,-8F5ATqM1vw,69,79,validate
bobsledding,-8IjJv90K-M,32,42,validate
throwing snowballs,-8P2fFlfD60,0,10,validate
ski jumping,-8PnKOdaKN8,29,39,validate
curling (sport),-8Q2UWwvF24,123,133,validate
walking through snow,-8bG71f6feA,64,74,validate
waxing chest,-8h42AaoMnc,20,30,validate
carving pumpkin,-8jPV06bmhA,46,56,validate
rock scissors paper,-8tBkfBtit8,46,56,validate
sweeping floor,-8wsYw78yTc,7,17,validate
playing guitar,-90YUx0XA2w,69,79,validate
ripping paper,-94nreFhQRg,20,30,validate
longboarding,-9FcXTlXnOY,30,40,validate
throwing tantrum,-9FnNboyQ-w,26,36,validate
hopscotch,-9ILBd-ArtM,0,10,validate
decorating the christmas tree,-9NYViQRQaI,55,65,validate
riding mule,-9Rcf4Fzed8,2,12,validate
exercising with an exercise ball,-9V1qe3Lk2M,1,11,validate
putting on eyeliner,-9WFWkTR6AE,151,161,validate
driving tractor,-9ad9yaPkKY,8,18,validate
playing keyboard,-9gU1fIB6TM,23,33,validate
mowing lawn,-9i4bm2OiZ4,10,20,validate
playing badminton,-9oeVZ1AF8s,1,11,validate
eating spaghetti,-AEUGxV9mpg,33,43,validate
eating burger,-AMpy1HyBfk,261,271,validate
playing keyboard,-AZ9WaV2Ozk,60,70,validate
playing chess,-AaQj4kGtKw,277,287,validate
decorating the christmas tree,-AgJx-0yaFQ,8,18,validate
eating chips,-AhebSCahUM,462,472,validate
playing chess,-AiRXJWGXZQ,55,65,validate
juggling fire,-Altf8KptXw,5,15,validate
riding or walking with horse,-ApPJCMjZVg,114,124,validate
petting animal (not cat),-Aw1GOyNtlI,13,23,validate
push up,-B2oGkg1qSI,12,22,validate
dribbling basketball,-B3kUonDIxI,55,65,validate
installing carpet,-B4Z2F9iNl0,320,330,validate
jogging,-BGRUc4x8qo,2,12,validate
making sushi,-BGvHxisFII,3,13,validate
tightrope walking,-BJULZEdt0g,65,75,validate
washing hands,-BL2GD3GBfE,592,602,validate
wrestling,-BaXTkiViAE,303,313,validate
shaving head,-Bj2sKFr314,150,160,validate
tie dying,-Bqrgq66ooM,59,69,validate
side kick,-BtMQt1D-Tw,8,18,validate
playing trumpet,-BtzVCzSnLk,73,83,validate
blowing leaves,-Bu-6oESyxQ,12,22,validate
tickling,-BuJ437TuOQ,1497,1507,validate
high kick,-BzpQMUsy0Y,4,14,validate
triple jump,-C38_1dMytQ,27,37,validate
assembling computer,-C6BDDvJO4A,45,55,validate
crying,-C7WEhlgf7w,97,107,validate
making sushi,-C9gnkkNI6Y,85,95,validate
eating chips,-CHTxmgMUes,10,20,validate
giving or receiving award,-CIywiz8I1s,18,28,validate
walking through snow,-CKxhozrTpo,0,10,validate
changing wheel (not on bike),-CUcALZfNIA,17,27,validate
catching or throwing baseball,-C_s9oUnFek,3,13,validate
gymnastics tumbling,-CiPki3XuVI,2,12,validate
cooking on campfire,-Cj7bIQZMTU,39,49,validate
tie dying,-CkwBZGgNes,41,51,validate
putting on mascara,-CwQQT4YCUk,205,215,validate
clean and jerk,-CxATHfWFqc,1,11,validate
moving furniture,-D6-UmndVJk,1,11,validate
running on treadmill,-D6dlwKg2Xs,11,21,validate
land sailing,-D7AXVnnCuo,31,41,validate
cracking knuckles,-DC6zbrPEs0,44,54,validate
whistling,-DTRPyv-DVI,0,10,validate
playing lute,-DZ4cNnJcJY,0,10,validate
scrambling eggs,-DeepadAEGo,15,25,validate
jetskiing,-DgC31LRuXs,6,16,validate
cartwheeling,-DskcreVRcY,26,36,validate
driving tractor,-DtqvvSHdk4,76,86,validate
watching tv,-DuTGJi0zlM,0,10,validate
clam digging,-EAmdsQRu1s,87,97,validate
juggling fire,-EIKL00IVCI,0,10,validate
climbing tree,-ELsDPpCYkA,2,12,validate
mushroom foraging,-EY5C7ExBO4,133,143,validate
massaging legs,-Ed7kfofg_w,22,32,validate
flint knapping,-Eg9wZh0EAA,159,169,validate
ski jumping,-Em6U3teolI,5,15,validate
scrambling eggs,-EmJ2fqvcsU,144,154,validate
eating chips,-EmZO5rG4rY,22,32,validate
mopping floor,-F-aEPmjERo,43,53,validate
lifting hat,-F5xCnQ3mrA,38,48,validate
front raises,-FG8nwR8Y3I,6,16,validate
tapping guitar,-FHjy-z4UDs,0,10,validate
cleaning windows,-FOfyuyabWQ,16,26,validate
installing carpet,-FRUt86KUZo,186,196,validate
cracking neck,-FSQTAHxmpg,0,10,validate
fly tying,-FUaMg_843A,281,291,validate
eating burger,-FbSzomWtWw,14,24,validate
parasailing,-FbUbIaCXtk,22,32,validate
falling off chair,-Fmo9kHEV7M,0,10,validate
opening refrigerator,-FvRcSk3dsU,123,133,validate
doing jigsaw puzzle,-FyOvTzMQgY,33,43,validate
fly tying,-G14dELklmQ,191,201,validate
playing cymbals,-GCN5oYTrPc,0,10,validate
hurdling,-GEXxxArGTs,74,84,validate
opening bottle (not wine),-GGG0mwXLFw,0,10,validate
yoga,-Gb1pbOE32g,32,42,validate
sleeping,-Gc5Y_CtpKg,63,73,validate
gymnastics tumbling,-Gfncisg2GE,1,11,validate
massaging back,-GtH2Ue_7tw,71,81,validate
playing lute,-GzhSBtuk58,44,54,validate
unloading truck,-HDvSTmuuNA,0,10,validate
playing ukulele,-HM9UnKhC3c,94,104,validate
kissing,-HaSHk661h4,188,198,validate
jumping jacks,-HmZYYJqjeQ,0,10,validate
sweeping floor,-HtFDlInHZM,19,29,validate
tapping guitar,-Hvl2ZcvTUw,0,10,validate
playing cello,-I6WN__Vz2A,34,44,validate
recording music,-IDv6_03HRU,8,18,validate
chopping wood,-IGwsxNxUpo,2,12,validate
front raises,-INebMIVKyo,5,15,validate
riding a bike,-IU5bU9_AT4,20,30,validate
exercising with an exercise ball,-IWwu5GfvVg,37,47,validate
playing drums,-IdzarYg7-Q,21,31,validate
yoga,-IeJ0CF3huY,16,26,validate
playing harmonica,-IlFdaVdEyU,1,11,validate
pushing car,-J5UQsKRvJw,55,65,validate
brush painting,-JHvT2pywbo,978,988,validate
kissing,-JODrHxjs2Q,3,13,validate
throwing snowballs,-JS-vd134VM,4,14,validate
tickling,-JuFFz7KyMo,41,51,validate
cracking knuckles,-JvrPnzDw5E,0,10,validate
skiing crosscountry,-JyH941Q89Q,115,125,validate
bandaging,-K-uDO6XEPA,49,59,validate
playing guitar,-KBf8XXQVXM,26,36,validate
playing cricket,-KD4urBJGac,8,18,validate
tango dancing,-KSenkRK0EE,47,57,validate
pull ups,-KSqZByq0GM,1,11,validate
pirouetting,-KUzjmpqCU4,0,10,validate
fly tying,-KalbyDjVV0,57,67,validate
raising eyebrows,-KuaZhmjJcY,5,15,validate
running on treadmill,-KvDvP44fxc,25,35,validate
feeding fish,-KyWot7wwlk,151,161,validate
golf driving,-L1mPUcEHQY,0,10,validate
playing ocarina,-L2Z-1ovaO8,9,19,validate
opening wine bottle,-L4drh4h_JQ,0,10,validate
climbing a rope,-LMBynHkTmQ,20,30,validate
playing harmonica,-LMCI_EBJvc,409,419,validate
marching,-LU2saCAJY4,397,407,validate
catching or throwing baseball,-LZ6lnyP0BQ,102,112,validate
ripping paper,-LbB4qrpeFY,194,204,validate
geocaching,-LqtFkJ56o8,272,282,validate
playing ice hockey,-LsQK3zOcwo,194,204,validate
blowing bubble gum,-LxB3wj8PtA,0,10,validate
bartending,-M3_7e_exd8,108,118,validate
kissing,-MLjvAhdJIU,71,81,validate
tapping pen,-MPqy00mB-Y,16,26,validate
using atm,-MUTGKtPyX0,63,73,validate
blowing leaves,-MV_iN5WXuw,2,12,validate
throwing knife,-MfyJpCDWc0,0,10,validate
tapping guitar,-MrnpDlhReg,14,24,validate
crawling baby,-N5C2S2KW80,18,28,validate
shuffling feet,-NAz4z2qi40,5,15,validate
dyeing hair,-NNNhb5VgOY,330,340,validate
applying cream,-NioQY3j1kg,101,111,validate
waving hand,-NmTACVcKZ8,16,26,validate
swinging on something,-NoPzfWbcG8,2,12,validate
shoveling snow,-Noqnajd4Jo,27,37,validate
shaping bread dough,-Nyya_Mb9vs,22,32,validate
dancing gangnam style,-O0mBf-MsxE,11,21,validate
kissing,-O6Zp6ByoEA,7,17,validate
playing organ,-OCOPA2G3no,371,381,validate
bathing dog,-OJjKC3HSoE,498,508,validate
tap dancing,-OPuI0ngwqI,62,72,validate
blowing leaves,-OXiBOQNg0A,1,11,validate
contorting,-OZLpnaG9Jo,63,73,validate
shucking oysters,-Ot4Z4xsx18,60,70,validate
ripping paper,-Ovwq0kVUx4,2,12,validate
auctioning,-Oz98vEzVNs,7,17,validate
auctioning,-P6oVaW_u9E,97,107,validate
making jewelry,-PB0FuE-fdA,363,373,validate
smashing,-PCVHF3Kp3M,169,179,validate
tagging graffiti,-PHqTXVyC6o,18,28,validate
playing xylophone,-PJ4yGryPc4,54,64,validate
dancing gangnam style,-PMG_RNHaQE,204,214,validate
punching person (boxing),-PW6kckornM,8,18,validate
yoga,-P_xVby_79I,0,10,validate
playing guitar,-PbHg505GzE,0,10,validate
shaking head,-PcLK5fwk6g,19,29,validate
card stacking,-PdnFBwFedA,53,63,validate
applauding,-PgjjBi_gqM,47,57,validate
playing cricket,-Ptrh9RtQRs,54,64,validate
wading through mud,-PvOT60t-F4,49,59,validate
exercising with an exercise ball,-PxRByksLVk,738,748,validate
riding snow blower,-Pyjgolke8c,0,10,validate
skiing slalom,-Q2OO6q6-iM,8,18,validate
shuffling feet,-Q8RPRMecZ8,215,225,validate
cracking neck,-QCk1KDf_Ls,158,168,validate
folding napkins,-QRY9rDrJf0,1,11,validate
push up,-Qa30gmIA3E,18,28,validate
cooking scallops,-Qcle1SI8_c,109,119,validate
folding paper,-QezE7gfzY4,486,496,validate
ice fishing,-QfN6xAteC4,4,14,validate
photobombing,-Qt5-0AhTCI,0,10,validate
archery,-Qz25rXdMjE,14,24,validate
sweeping floor,-R7HTE7xJbE,2,12,validate
playing dominoes,-R9RDOtqPl8,11,21,validate
jogging,-R9ahRkfDLo,20,30,validate
docking boat,-REHiCyIiuw,29,39,validate
throwing tantrum,-ROI2MGp4ts,4,14,validate
trimming or shaving beard,-R_pzMQ_4Dk,120,130,validate
backflip (human),-Rb4JyBZ04Q,0,10,validate
riding scooter,-RfExGxPfSk,7,17,validate
vacuuming floor,-RyVvPFRAm4,201,211,validate
bobsledding,-SWFnl5p1Xc,125,135,validate
head stand,-Si5SfAGWek,0,10,validate
eating chips,-Ss-cEWk2JI,21,31,validate
playing badminton,-Sv61iqkWRQ,33,43,validate
walking through snow,-Sw9xGrse5Y,18,28,validate
playing xylophone,-T2V_zRoSi4,0,10,validate
laying bricks,-Tbc92Usj5s,12,22,validate
playing with trains,-Tc-gkHZ0jg,525,535,validate
threading needle,-Tc2NGLTTD0,121,131,validate
blowdrying hair,-TqEP9W9ms4,213,223,validate
walking the dog,-U1xXJB1AHE,38,48,validate
putting on lipstick,-U5LkjuuLtM,65,75,validate
getting a tattoo,-UAJ8gH60Tw,6,16,validate
archery,-UJgyiWe500,29,39,validate
sawing wood,-UPhI6kTl60,0,10,validate
standing on hands,-UTtcXpa-Eg,72,82,validate
shooting goal (soccer),-Ue7X0BbZWY,215,225,validate
historical reenactment,-VArnLOtGk0,15,25,validate
waxing chest,-VatMZ0ztMk,0,10,validate
gymnastics tumbling,-VdLmYXkJG0,38,48,validate
shucking oysters,-VeGjwoVIsA,11,21,validate
opening door,-VhkiS8eFBA,0,10,validate
hugging baby,-VuL9qrqeFI,0,10,validate
mosh pit dancing,-Vxhx6-lSzU,1,11,validate
ski jumping,-W04ILeepgw,0,10,validate
singing,-W07v4Ci-zY,0,10,validate
knitting,-W2dCzNXc8w,81,91,validate
cooking on campfire,-WZgMWx8Elk,13,23,validate
dancing ballet,-WmjG9gBUTI,301,311,validate
sausage making,-WrHiom0Pjg,4,14,validate
bowling,-WyrUbKbzw8,6,16,validate
extinguishing fire,-X1Allr_ZcY,15,25,validate
shaving legs,-X6nPk4D8Gk,16,26,validate
combing hair,-XB169EwqMQ,14,24,validate
clam digging,-XBt-4ZNCTk,44,54,validate
bouncing on bouncy castle,-XCf1MsY_cc,1,11,validate
breathing fire,-XYK_rQU1pE,0,10,validate
geocaching,-Xb7yE2jgLI,26,36,validate
massaging person's head,-XvstEcJxV0,1,11,validate
mushroom foraging,-XzzIl7hmS0,45,55,validate
swing dancing,-Y-fUYGcb7o,49,59,validate
chopping meat,-YHlk6TwJTE,797,807,validate
scuba diving,-Ynbp0XyHGo,117,127,validate
shaking head,-ZI_tlHaBgo,6,16,validate
laying bricks,-ZRdxrYnDkc,73,83,validate
eating spaghetti,-ZYl4Sw2SSk,243,253,validate
sharpening knives,-Z_zv-4V1-A,94,104,validate
water sliding,-ZmsPOsGLYk,1,11,validate
cutting apple,-ZoW0nCjxJw,0,10,validate
playing polo,-Zt0Sk9vBK8,93,103,validate
breading or breadcrumbing,-_3E3GBXAUc,10,20,validate
falling off bike,-_BAPKUNfSs,0,10,validate
waxing back,-_MgXbVfAjs,46,56,validate
delivering mail,-_PmaC35JlI,28,38,validate
playing poker,-_axH6kxbic,3,13,validate
faceplanting,-_hdevYIBPM,0,10,validate
peeling potatoes,-_hu_Ld-ddk,7,17,validate
cracking back,-_oOuXwO5tQ,21,31,validate
tap dancing,-_pn5NxJmok,4,14,validate
dodgeball,-a3gMNK8QpY,25,35,validate
chopping meat,-aEdKALcHjk,10,20,validate
changing oil,-aJHPlJTesM,734,744,validate
unloading truck,-aKzhHxNXDo,66,76,validate
peeling apples,-aLdPxMzGhg,0,10,validate
kicking soccer ball,-aQR-rCWaVQ,16,26,validate
home roasting coffee,-aW91y_uVOQ,101,111,validate
cooking egg,-abgu7xMKe8,151,161,validate
cutting nails,-aeOuOI3eN0,219,229,validate
drooling,-aedH66ov7E,22,32,validate
crossing river,-al8APBDtEg,3,13,validate
sneezing,-ayNZ5bs7EQ,11,21,validate
brushing hair,-ayhkSjMkms,22,32,validate
playing harmonica,-b5vQ-sabYg,3,13,validate
passing American football (in game),-b6gqj_mZOs,9,19,validate
historical reenactment,-bAxqNDR7C8,81,91,validate
making pizza,-bCYukCk6SE,178,188,validate
playing ice hockey,-bH-BrGmJnM,4,14,validate
person collecting garbage,-bLvZPDJzbk,2,12,validate
somersaulting,-bNSABT92hQ,6,16,validate
dancing macarena,-bOgXBuuge0,48,58,validate
skateboarding,-bQfgNsszaQ,172,182,validate
clapping,-bRqg_Rgmpk,3,13,validate
eating spaghetti,-beyXnxwTao,40,50,validate
kicking field goal,-bmRArJhlr4,10,20,validate
swinging baseball bat,-btTgT5aQg4,36,46,validate
waxing eyebrows,-buq7C8Eqic,11,21,validate
sticking tongue out,-c0gEPZVGPo,3,13,validate
cooking on campfire,-c1JrpgLek0,11,21,validate
braiding hair,-cHi_8_2G34,74,84,validate
playing tennis,-cIFpF1gGbE,13,23,validate
dancing gangnam style,-cIPyFZRweI,3,13,validate
yawning,-cQG3mhrfxY,22,32,validate
shearing sheep,-cSoIAYYW80,3,13,validate
washing feet,-cTzRqHS9yo,40,50,validate
throwing tantrum,-cWq8pR2Ci8,4,14,validate
assembling bicycle,-cXQ3ZCR41w,16,26,validate
wading through mud,-ciUI_Eo5rI,118,128,validate
shuffling feet,-csnX41Q5NU,0,10,validate
smoking,-cui-aLqI3g,541,551,validate
swimming butterfly stroke,-d-cfnAoYh4,0,10,validate
card stacking,-d2UqmNeOCQ,34,44,validate
shucking oysters,-d3ZZXANFQ0,11,21,validate
blowing nose,-d7gxstQux4,67,77,validate
slapping,-d7lSkOl0ZU,59,69,validate
using atm,-dCBY5AKOzM,0,10,validate
passing soccer ball,-dGKZZ8MjXA,19,29,validate
spelunking,-dHjiNfYz4E,15,25,validate
folding paper,-dKMoooU0o4,106,116,validate
cooking on campfire,-dL7m7j1Mfs,8,18,validate
braiding hair,-dLVSg5JvxY,22,32,validate
walking the dog,-dMaV5Il324,5,15,validate
diving cliff,-dQsbQfZ008,6,16,validate
pushing cart,-dSUldceBAA,31,41,validate
side kick,-d_oTAmUrII,0,10,validate
repairing puncture,-dfk0MXUuiM,62,72,validate
massaging legs,-diJ8ln3vVw,146,156,validate
riding a bike,-dpojmwnPUI,389,399,validate
chopping vegetables,-ds5LYW3ynk,12,22,validate
using a power drill,-dsKGUbyjLw,33,43,validate
playing with trains,-eExMFY3L8A,112,122,validate
making a cake,-e_w1rF4RGg,90,100,validate
answering questions,-egPJubR-CE,1,11,validate
answering questions,-ejLPB4J4SM,106,116,validate
gospel singing in church,-emq_ozDCfA,203,213,validate
answering questions,-emx5qjikEc,1,11,validate
pole vault,-eq5-ZoYv4Y,6,16,validate
paragliding,-errNPiGXF4,39,49,validate
parasailing,-fJ4Fq583ec,51,61,validate
cleaning windows,-fN6cQFbu1M,4,14,validate
shearing sheep,-fOC3k5isc8,22,32,validate
chewing gum,-fgVYyZD6P4,62,72,validate
using a paint roller,-fvtIUVgGtc,223,233,validate
training dog,-g1KcIki0ww,4,14,validate
holding snake,-g5emSW-SOg,10,20,validate
longboarding,-gEOeKPMozU,136,146,validate
cutting pineapple,-gJlTcI3jRI,0,10,validate
tasting food,-gOSLBYPUDM,328,338,validate
water skiing,-ggSrjv8LDw,12,22,validate
slacklining,-gn_eC6qOk0,101,111,validate
climbing ladder,-goScXeo-ng,110,120,validate
scuba diving,-gqlA679_f8,163,173,validate
parasailing,-gsRLvAO4mw,22,32,validate
disc golfing,-gun8tHqLIw,31,41,validate
laying concrete,-gva8AnxrLk,87,97,validate
unloading truck,-gw4REc9KqA,6,16,validate
decorating the christmas tree,-gxyV8qAm8s,159,169,validate
waxing chest,-h3LsUJLK4Y,3,13,validate
grinding meat,-hFa8jTSaJw,133,143,validate
rope pushdown,-hZJyWEFyL4,1,11,validate
playing field hockey,-hZzOKd0eRI,7,17,validate
texting,-he92lx6vH0,0,10,validate
ice swimming,-hh0zSFOzV8,11,21,validate
stretching leg,-hkrPB2YU50,612,622,validate
playing netball,-hvhm-1ZnFQ,275,285,validate
using a paint roller,-i0Jraqa_uY,39,49,validate
dancing macarena,-i7rrd7W7UM,134,144,validate
